,id,model,pam,price,retail_price,year,box,papers,gender,movement,case_size,case_material,bracelet_material,dial_type,w_resistance,date,link,img_path
101,153715,Luminor 1950,PAM00372,6410,8625,2013,Yes,Yes,Mens,Manual,47 MM,Steel,Leather - Brown,Black Quarter Arabic,100 metres,25/10/2020 11:31:36,https://www.watchfinder.es/Panerai/Luminor1950/PAM00372/23136/item/153715,../data/imgs/WF_panerai/153715_PAM00372_Luminor 1950.jpeg
102,155144,Luminor 1950,PAM00372,6410,8625,2014,Yes,Yes,Mens,Manual,47 MM,Steel,Leather - Brown,Black Quarter Arabic,100 metres,25/10/2020 11:31:39,https://www.watchfinder.es/Panerai/Luminor1950/PAM00372/23136/item/155144,../data/imgs/WF_panerai/155144_PAM00372_Luminor 1950.jpeg
103,149625,Luminor 1950,PAM00362,8260,,2011,Yes,Yes,Mens,Automatic,44 MM,Steel,Rubber - Black,Black Baton,100 metres,25/10/2020 11:31:42,https://www.watchfinder.es/Panerai/Luminor1950/PAM00362/23787/item/149625,../data/imgs/WF_panerai/149625_PAM00362_Luminor 1950.jpeg
104,147056,Luminor GMT,PAM00335,11985,15455,2011,Yes,Yes,Mens,Automatic,44 MM,Ceramic - Black,Leather - Black,Black Baton,100 metres,25/10/2020 11:31:45,https://www.watchfinder.es/Panerai/LuminorGMT/PAM00335/23818/item/147056,../data/imgs/WF_panerai/147056_PAM00335_Luminor GMT.jpeg
105,165056,Luminor 1950,PAM00213,7785,10415,2008,Yes,Yes,Mens,Automatic,44 MM,Steel,Leather - Black,Black Baton,100 metres,25/10/2020 11:31:49,https://www.watchfinder.es/Panerai/Luminor1950/PAM00213/6318/item/165056,../data/imgs/WF_panerai/165056_PAM00213_Luminor 1950.jpeg
106,156525,Luminor Marina,PAM01048,5880,6495,2017,Yes,Yes,Mens,Automatic,40 MM,Steel,Leather - Brown,Black,300 metres,25/10/2020 11:31:55,https://www.watchfinder.es/Panerai/LuminorMarina/PAM01048/34554/item/156525,../data/imgs/WF_panerai/156525_PAM01048_Luminor Marina.jpeg
107,151603,Luminor 1950,PAM00213,6665,10415,2017,Yes,No,Mens,Automatic,44 MM,Steel,Crocodile - Brown,Black Baton,100 metres,25/10/2020 11:31:59,https://www.watchfinder.es/Panerai/Luminor1950/PAM00213/6318/item/151603,../data/imgs/WF_panerai/151603_PAM00213_Luminor 1950.jpeg
108,166632,Luminor Submersible,PAM01024,5910,6830,2017,Yes,Yes,Mens,Automatic,44 MM,Steel,Rubber - Black,Black Baton,1000 metres,25/10/2020 11:32:03,https://www.watchfinder.es/Panerai/LuminorSubmersible/PAM01024/34496/item/166632,../data/imgs/WF_panerai/166632_PAM01024_Luminor Submersible.jpeg
109,163502,Luminor Base,PAM00112,3865,,2017,No,No,Mens,Manual,44 MM,Steel,Rubber - Black,Black Quarter Arabic,300 metres,25/10/2020 11:32:06,https://www.watchfinder.es/Panerai/LuminorBase/PAM00112/38620/item/163502,../data/imgs/WF_panerai/163502_PAM00112_Luminor Base.jpeg
110,163762,Luminor 1950,PAM00127,14870,,2003,Yes,Yes,Mens,Automatic,47 MM,Steel,Leather - Brown,Black Quarter Arabic,100 metres,25/10/2020 11:32:10,https://www.watchfinder.es/Panerai/Luminor1950/PAM00127/26240/item/163762,../data/imgs/WF_panerai/163762_PAM00127_Luminor 1950.jpeg
